date,gdp,gnp,potential_gdp,real_gdp,real_gnp,real_potential_gdp,real_gdp_nfb,potential_lf,potential_lf_prod,potential_lfpr,noncyclical_rate_of_unemployment,output_gap,nfb_real_potential_gdp,nfb_potential_hrs_worked,nfb_index_capital_services,nfb_potential_tfp,nfb_potential_lab_prod,nfb_capital_share,pce_price_index,core_pce_price_index,cpiu,core_cpiu,chained_cpiu,gdp_price_index,eci_wages_salaries,oil_rac_imported,oil_price_wti_spot,nat_gas_price_henry_hub,house_price_index_fhfa,exchange_rate_export_weighted,unemployment_rate,labor_force,lfpr_16yo,empl_civ_16yo,empl_payroll_nf,output_per_hr_nfb,hours_nfb,population_civ_16yo,households,treasury_note_rate_10yr,treasury_bill_rate_3mo,fed_funds_rate,personal_income,compensation,wages_and_salaries,nonwage_income,prop_inc_farm_adj,prop_inc_nonfarm_adj,rental_inc_adj,interest_inc_pers,dividend_inc_pers,corp_profits_adj,corp_profits_domestic_adj,pce,gross_pri_dom_invest,nonres_fixed_invest,res_fixed_invest,change_pri_inv,government_c_gi,federal_government_c_gi,sl_government_c_gi,net_exports,exports,imports,current_account_balance,real_pce,real_gross_pri_dom_invest,real_nonres_fixed_invest,real_res_fixed_invest,real_change_pri_invest,real_government_c_gi,real_federal_government_c_gi,real_sl_government_c_gi,real_net_exports,real_exports,real_imports
1995,7639.7500,7667.7000,7685.6489149860848,10636.9750,10678.3500,10700.874330239732,7496.3500,133.0712866714357,80.413690419916768,67.024253289824456,5.404441121170044,-0.59705735480485856,7555.623311981856,95.1213251615804,57.741492433331632,77.98136218120704,41.440484025526816,0.329,71.671250,74.451250,152.38333333333332,161.225,NA,71.819000,71.550000,17.146666666666668,18.439166666666664,1.725,111.55,158.74179070505624,5.5916666666666664,132.31516666666666,66.629507237907472,124.90825,117.41008333333334,66.359500,93.680250,198.58408333333332,96.698155472888928,6.58,5.49,5.8366666666666672,6291.3750,4198.075,3418.0250,1742.70000,22.050000,459.1750,124.900000,878.60000,257.97500,706.22500,613.27500,4962.6000,1317.48925,962.24700,324.06900,31.17375,1449.43050,576.68200,872.74850,-89.750000,812.82500,902.5500,-105.87500,6924.1000,1527.28950,1003.92250,502.64525,40.5682500,2410.56675,875.79750,1534.54800,-141.1750,977.57500,1118.75000
1996,8073.1250,8103.9750,8051.702794553576,11038.2500,11082.6000,11009.159818263466,7833.7000,134.440766795082,81.886978827689824,66.968818406651624,5.3650628831329344,0.26069493058109296,7804.4604143012336,96.28649789399384,60.067221029323744,78.891992810924784,42.286871980709904,0.329,73.203750,75.863000,156.85833333333332,165.55833333333334,NA,73.132250,73.925000,20.599166666666664,22.113333333333332,2.7533333333333336,114.7875,166.49637540276654,5.4083333333333336,133.95125000000002,66.777869611746152,126.72016666666668,119.81933333333334,67.749500,95.884000,200.59058333333336,97.66433311540464,6.4383333333333336,5.0058333333333336,5.2983333333333336,6678.5500,4416.925,3616.4750,1887.45000,37.325000,506.4500,142.525000,898.97500,302.17500,789.50000,687.52500,5244.6000,1432.05475,1043.19425,358.06125,30.79925,1492.84800,579.15975,913.68850,-96.375000,867.57500,963.9750,-115.00000,7164.3750,1660.79925,1095.01375,543.70375,39.7157500,2432.90050,865.11825,1570.45500,-158.5250,1057.52500,1216.05000
1997,8577.5500,8600.8500,8481.104590839816,11529.1500,11562.7500,11399.66769976309,8237.4750,135.98736706318626,83.827177185773152,66.923427397342752,5.327718980392456,1.1319964816532746,8127.8288435120416,97.582902474452224,62.863190369883784,80.258870993210528,43.453772475557392,0.329,74.478000,77.201250,160.525,169.50833333333332,NA,74.399250,76.525000,18.554166666666668,20.61,2.4858333333333332,118.025,176.88539890614454,4.9416666666666664,136.30100000000002,67.099151683878032,129.57233333333334,122.93025,69.054250,98.920500,203.13325,98.839278407709504,6.3525,5.0608333333333328,5.46,7092.5000,4708.825,3876.8500,2016.00000,32.375000,551.5750,147.075000,947.07500,337.90000,869.70000,762.15000,5536.8000,1595.60050,1149.08825,375.58550,70.926500000000008,1547.13300,583.28925,963.84425,-101.950000,953.82500,1055.7750,-130.12500,7434.1500,1850.20950,1212.95200,556.88350,95.4217500,2472.79850,858.01750,1620.62150,-196.3250,1183.50000,1379.82500
1998,9062.8250,9080.2250,8906.0646936023568,12045.8250,12070.8000,11837.598825908226,8700.2250,137.2261523112551,86.261455318272704,66.889916855144008,5.28978,1.7556162500016404,8500.1252976686592,98.665541300102144,66.133054883417616,81.96734498575024,44.945352488528416,0.329,75.070500,78.183250,163.00833333333332,173.38333333333332,NA,75.219500,79.625000,12.0975,14.446666666666666,2.09,123.7075,190.2129904134804,4.5,137.67983333333334,67.088775007375616,131.47591666666668,126.13675,71.375250,101.079500,205.22008333333332,100.12265809801412,5.2641666666666664,4.7766666666666664,5.3533333333333336,7606.6750,5071.150,4181.6250,2176.27500,28.475000,611.7000,165.200000,1015.45000,355.45000,808.45000,705.67500,5877.2250,1736.67100,1254.14425,418.80725,63.71925,1611.60850,585.51550,1026.09325,-162.700000,952.97500,1115.6750,-205.35000,7828.9500,2026.30200,1344.95725,605.00900,91.8492500,2532.77625,850.41725,1692.28825,-329.9750,1211.10000,1541.07500
1999,9631.1750,9662.0500,9439.3642786947392,12623.3750,12664.8750,12372.017108701854,9206.0250,139.4665832969618,88.705491235200048,66.843724448059032,5.2503189499588016,2.0308399451223092,8950.1710992809872,100.47735269636632,69.807921201416192,83.773220864474304,46.470354276495888,0.329,76.164250,79.209500,166.58333333333332,176.975,NA,76.272750,82.300000,17.270833333333336,19.260833333333336,2.2691666666666664,131.23250000000002,191.1531182397566,4.2166666666666664,139.37991666666668,67.089331810714032,133.50091666666668,129.22908333333334,74.167500,102.929000,207.75291666666668,101.46891340218476,5.6366666666666664,4.6383333333333336,4.9700000000000008,8006.8000,5402.700,4457.9250,2239.22500,28.100000,668.3000,178.500000,1017.75000,346.57500,834.92500,713.17500,6283.7250,1887.05900,1364.47700,461.76600,60.8155,1719.90500,610.72225,1109.18275,-259.550000,992.92500,1252.4500,-276.62500,8250.2750,2198.70700,1478.09625,642.98100,87.4232500,2615.69100,865.88125,1761.64750,-448.2750,1271.47500,1719.75000
2000,10250.9500,10289.4250,10097.214564880186,13138.0500,13188.2250,12940.831769411302,9607.5000,142.034195862134,91.10845289135176,66.783431552829104,5.209378,1.5263081073204288,9428.92971042068,102.40289803996166,73.65732838570792,85.587764457376096,48.037196382218704,0.329,78.090500,80.624500,172.19166666666666,181.29166666666664,101.99166666666668,78.016250,85.650000,27.6825,30.300833333333332,4.31,139.995,196.56918565863856,3.9666666666666664,142.58575,67.075481078000408,136.90066666666666,132.01833333333332,76.378750,104.315250,212.57675,102.65489192267402,6.0291666666666664,5.8166666666666664,6.2358333333333336,8655.9000,5847.125,4824.9750,2427.30000,31.525000,722.3500,183.475000,1106.45000,383.50000,786.55000,640.87500,6767.1750,2038.40800,1498.43175,485.43200,54.5445,1826.43750,633.06900,1193.36850,-381.075000,1096.12500,1477.2000,-396.87500,8665.8250,2346.73125,1616.11300,647.20700,78.6457500,2663.32650,868.42625,1808.43900,-566.2000,1377.15000,1943.35000
2001,10581.9250,10632.2750,10670.773034344066,13263.4250,13327.6000,13374.349491626016,9672.8000,143.41940721232742,93.252012311804528,66.71853278126788,5.1672765413513184,-0.82374253062519888,9791.6072757835792,102.8693385456353,76.810766366908432,87.284636585178496,49.659791325321752,0.329,79.656250,82.153000,177.04166666666666,186.125,104.29166666666666,79.814500,88.800000,21.9875,25.9475,3.9591666666666664,149.65,206.57353686057012,4.7416666666666672,143.76891666666666,66.841055177156888,136.93933333333334,132.07825,78.365500,102.377750,215.09249999999996,103.94467541308274,5.0175,3.3883333333333332,3.8875,9012.8000,6038.350,4953.6500,2515.05000,32.075000,798.9000,202.400000,1112.32500,369.35000,758.72500,589.90000,7073.8000,1934.84150,1460.06725,513.05850,-38.284,1950.03350,670.21175,1279.82200,-376.750000,1026.80000,1403.5500,-391.42500,8880.4250,2214.62625,1581.08850,653.04350,-53.2135000,2763.72125,902.65725,1874.97300,-595.2500,1300.27500,1895.52500
2002,10929.1000,10974.9000,11147.897595886724,13488.3500,13546.0500,13758.12478899257,9835.1250,145.24862845322872,94.719783703859808,66.631520410086112,5.1245727447662352,-1.958215144269462,10096.288765178242,103.23535479282456,78.907105922379024,88.903693543959072,51.023266366262896,0.329,80.701750,83.526500,179.86666666666668,190.44166666666668,105.60833333333334,81.012750,91.650000,23.633333333333332,26.115,3.3575,160.1575,206.5049643195728,5.7833333333333336,144.85608333333334,66.579455673873472,136.48091666666668,130.63458333333336,81.699250,99.831750,217.56958333333332,105.31816124781426,4.6108333333333336,1.6025,1.6666666666666668,9160.9500,6135.100,4995.8500,2492.12500,20.225000,849.8500,208.450000,1014.80000,398.80000,911.70000,754.95000,7348.9500,1930.41725,1352.84825,557.59450,19.97475,2089.49500,743.09675,1346.39800,-439.750000,998.00000,1437.7000,-455.42500,9106.2250,2195.48500,1472.67425,692.57975,24.3450000,2886.60450,969.49850,1929.14575,-690.2750,1274.77500,1965.05000
2003,11456.4500,11514.9500,11662.68403419627,13865.5250,13937.4250,14115.762600021332,10139.8500,146.97620176602504,96.04022000432112,66.50614153325628,5.0824438908081056,-1.7776817812387132,10372.42712639006,103.4680305569916,80.669182182482608,90.531337389519664,52.301537136547048,0.329,82.397500,84.874250,184,193.225,107.75833333333334,82.635250,94.250000,27.845,31.120833333333332,5.4983333333333328,172.4075,192.29915410775196,5.9916666666666664,146.49949999999998,66.239524585554648,137.72925,130.327,84.713500,99.261000,221.16791666666664,106.11056896934674,4.015,1.0108333333333332,1.1275,9498.5000,6353.600,5138.2750,2576.90000,37.125000,860.3750,227.100000,1020.15000,432.15000,1056.25000,897.35000,7740.7750,2027.05550,1375.87950,637.08200,14.094,2210.59975,826.76900,1383.83025,-521.975000,1035.17500,1557.1250,-527.65000,9394.3750,2290.37075,1509.36450,755.51050,19.9070000,2945.73625,1033.14475,1920.31150,-764.1500,1301.57500,2065.75000
2004,12217.1750,12293.9250,12267.203199562198,14399.6750,14491.3500,14459.001609704592,10578.9500,148.1599103887874,97.589371529826688,66.341892893374168,5.0428612778625496,-0.41249930034364944,10636.159334474452,103.3395812578391,82.682934398502576,92.188780047507328,53.697882539507912,0.329,84.443000,86.544000,188.90833333333332,196.64166666666664,110.45833333333334,84.841750,96.750000,35.793333333333336,41.443333333333336,5.9058333333333328,188.675,181.84742996991652,5.5416666666666672,147.37958333333332,65.984017041205488,139.23975000000002,131.75508333333334,87.242250,100.556000,223.35683333333332,107.60336068637674,4.2741666666666672,1.3716666666666666,1.3491666666666666,10044.2750,6719.500,5421.0250,2732.75000,52.400000,910.5000,242.775000,965.40000,561.67500,1289.35000,1094.20000,8231.9500,2281.25325,1467.36875,749.81675,64.06725,2338.12350,892.12300,1446.00050,-634.150000,1176.37500,1810.5000,-637.75000,9748.5500,2502.55200,1594.00825,830.88925,82.6480000,2991.13000,1077.74175,1918.23250,-865.5750,1427.02500,2292.60000
2005,13039.2000,13114.0250,12970.845711151372,14901.2500,14987.6750,14823.200092669152,10991.9750,149.5298611525947,99.131032778062992,66.15321242109404,5.00802106397346,0.52624044924705624,10914.381816046848,103.3619107658092,85.056535791756128,93.737993857339616,55.090620417727688,0.329,86.875750,88.440250,195.26666666666664,200.86666666666668,113.69166666666666,87.490000,99.150000,48.925833333333328,56.4925,8.8133333333333328,208.4225,176.11104057097936,5.0833333333333328,149.28916666666666,66.032836367521512,141.71008333333332,134.02133333333334,89.141500,102.258500,226.08258333333332,109.4813373888,4.29,3.1466666666666664,3.2133333333333332,10604.9500,7066.100,5691.3750,2895.42500,47.925000,931.2250,221.125000,1117.40000,577.75000,1488.65000,1262.90000,8769.0500,2534.72025,1620.98575,856.22125,57.51325,2475.31350,947.78700,1527.52650,-739.925000,1301.57500,2041.5000,-751.17500,10093.7750,2670.56500,1716.36275,885.38975,63.7340000,3013.82650,1099.23975,1918.26175,-915.3500,1526.05000,2441.42500
2006,13815.6000,13862.0500,13681.18051439149,15315.9250,15368.2500,15166.665101297776,11357.8500,151.02653198138578,100.42287546451636,65.96404551323052,4.9712006127342432,0.98534494238094464,11167.712315514124,103.49786370390628,87.818123702275056,94.853467415181024,56.295043124365936,0.329,89.322000,90.558500,201.55833333333332,205.91666666666668,116.99166666666668,90.211500,102.050000,58.8875,66.018333333333328,6.7441666666666664,220.5775,172.36214107520926,4.6083333333333336,151.40883333333334,66.170729747023072,144.41758333333334,136.43216666666666,90.034000,104.615000,228.81466666666664,110.69542294334524,4.7916666666666672,4.7266666666666664,4.9641666666666672,11384.7000,7479.650,6056.7500,3213.70000,34.300000,1016.5500,181.100000,1258.95000,722.80000,1646.25000,1406.52500,9277.2500,2700.95450,1793.80100,838.16400,68.98925,2623.84625,1001.18900,1622.65700,-786.450000,1470.17500,2256.6250,-819.32500,10386.2500,2752.41300,1854.15400,818.87650,87.1085000,3061.83975,1125.32850,1939.61425,-927.6250,1670.52500,2598.20000
2007,14474.2500,14569.9000,14341.66030896975,15623.8750,15727.5000,15480.899127162832,11617.4250,152.36020027399348,101.60663493010546,65.776734970634136,4.9283587558731904,0.92272668640467904,11398.097247957662,103.70446169133254,90.83209837676552,95.615836039916848,57.342025981313424,0.329,91.614250,92.577500,207.34416666666668,210.72508333333332,119.95675,92.653250,105.500000,67.134166666666672,72.318333333333328,6.9841666666666672,220.3975,163.82492995798476,4.6166666666666672,153.12308333333334,66.039590662528784,146.05016666666666,137.97875,91.322000,105.499250,231.867,111.258033285293,4.6291666666666664,4.3533333333333336,5.0191666666666672,12021.3500,7878.475,6396.4000,3376.20000,41.675000,953.7750,186.275000,1379.22500,815.25000,1533.17500,1195.40000,9746.5750,2673.01025,1948.56300,690.49750,33.950000000000004,2790.55600,1051.02475,1739.53150,-735.950000,1659.30000,2395.2500,-740.87500,10638.7500,2684.13750,1982.05350,665.80875,40.5787500,3116.89200,1147.28575,1972.67825,-847.9250,1816.85000,2664.80000
2008,14769.8500,14915.0500,14887.205746399904,15642.9750,15796.3000,15766.175423058784,11514.8750,153.15039851041404,102.9451720588282,65.571134236312576,4.892561585865608,-0.77528205039961424,11634.762210716734,104.11744173730244,93.443472052472656,96.35802454011624,58.300211222521896,0.329,94.325500,94.392750,215.25425,215.56508333333336,124.43316666666668,94.397250,108.625000,92.295833333333328,99.571666666666656,8.855,202.375,160.0988042549221,5.8,154.32158333333334,66.009427824732752,145.37325000000002,137.22491666666668,92.639750,103.083000,233.788,111.67425803428224,3.6666666666666672,1.365,1.9275,12477.5500,8056.850,6534.1250,3454.02500,38.925000,920.7500,290.275000,1399.45000,804.62500,1285.85000,895.65000,10050.0750,2477.61325,1990.87075,515.98350,-29.24125,2983.03500,1151.96050,1831.07450,-740.875000,1835.27500,2576.1750,-704.25000,10654.7000,2462.91150,1994.22450,504.63400,-32.6705000,3195.78750,1220.03975,1977.61350,-685.6750,1921.90000,2607.55000
2009,14478.0500,14628.3000,15219.332012051784,15236.2750,15395.3500,16016.454830117848,11071.4000,154.02215144116776,103.9876249809057,65.335906896754352,4.8661917727481904,-4.871357104337792,11851.797927119228,104.81760535795686,94.806750525199344,97.148121670980096,58.99115071952468,0.329,94.062750,95.270250,214.56466666666668,219.23666666666668,123.85025,95.019000,110.350000,59.367500000000008,61.654166666666672,3.9525,190.2525,171.93445279554254,9.2833333333333328,154.1885,65.390159867256672,139.89391666666666,131.29,96.272250,95.394250,235.801,112.29564493411326,3.2566666666666668,0.15,0.16,12080.4000,7759.025,6249.1250,3138.92500,27.175000,910.4750,347.575000,1300.70000,553.00000,1386.82500,1038.02500,9891.2250,1929.66350,1690.43175,390.00375,-150.77175,3076.33775,1220.78475,1855.55275,-419.175000,1582.77500,2001.9500,-383.10000,10515.6250,1941.97025,1704.34700,395.25675,-177.3220000,3310.69125,1296.04350,2015.91025,-516.2750,1762.47500,2278.75000
2010,15048.9750,15254.6000,15600.649240002308,15649.0000,15863.4500,16223.053367126216,11436.4250,154.65637382923908,104.89715888202068,65.090936480576232,4.8400096584293696,-3.5401540974680872,12036.148005913522,105.38126607958896,95.924566655425984,97.954153244409632,59.58836264253528,0.329,95.747250,96.650500,218.07616666666668,221.33583333333332,125.6145,96.164250,112.125000,75.9175,79.395,4.3875,184.62,164.58157360025558,9.6083333333333344,153.88525000000002,64.704534269388248,139.07716666666668,130.33458333333334,99.414750,95.397000,237.82933333333336,112.9034097699655,3.2141666666666668,0.13666666666666666,0.17499999999999998,12594.5250,7925.350,6372.5000,3327.72500,37.550000,1069.7500,433.675000,1242.90000,543.85000,1728.75000,1342.95000,10260.2500,2165.47275,1734.98075,376.57475,53.91725,3155.55000,1300.15725,1855.39250,-532.300000,1857.25000,2389.5750,-439.80000,10716.0000,2216.47775,1780.99875,383.02275,57.2830000,3308.00875,1348.36700,1959.77025,-589.3750,1989.52500,2578.92500
2011,15599.7250,15837.6500,16184.21274427872,15891.5250,16133.6750,16486.933107216974,11670.5000,155.78038111518964,105.83367868085862,64.864659239706384,4.8061485153227784,-3.6115584011793736,12273.773686796204,106.29088102378796,97.706499378822592,98.76687240876928,60.244369807350776,0.329,98.169500,98.183750,224.923,225.00641666666668,129.453,98.157250,113.950000,102.50083333333334,94.874166666666672,3.9966666666666672,176.70499999999998,157.2972661584902,8.9333333333333328,153.62366666666668,64.112141848258088,139.88516666666666,131.9195,99.314000,97.450500,239.6175,113.54023912547674,2.7858333333333332,0.052500000000000008,0.10166666666666666,13339.3000,8226.175,6626.1750,3671.10000,63.050000,1164.4000,506.550000,1255.60000,681.50000,1809.80000,1397.20000,10698.8500,2332.56225,1907.46475,378.83550,46.262,3147.92900,1299.76275,1848.16675,-579.625000,2115.85000,2695.4750,-460.32500,10898.3500,2362.12825,1935.35250,382.47225,46.7070000,3202.73300,1311.97950,1890.77000,-571.0000,2132.15000,2703.15000
